Payment Number,Invoice Number,Invoice Date,Description,Invoice Amount,Invoice Currency,Withholding Amount,Terms Discount Taken,Amount Paid,Remaining Amount,Payment Date,Payment Amount,Deduction/Repayment/ Invoice Payment,Reason Code,Sub Reason Code,ABS,Deduction Year,Inv,A
282573448,6408-815760185-IT,11/9/2023,Co-op-60161190-6408-815760185,"-$1,63,059.22",USD,$0.00 ,$0.00 ,"$5,418.47 ","($78,292.77)",11/29/2023,$0.00 ,Deduction,Promotions ,Co-op,"$5,418.47 ",2023,6408-815760185-IT,60161190
282588349,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,03,313.89 ","-$15,24,598.38",11/29/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,03,313.89 ",2023,6429-817059700,59960910
282606636,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$293.21 ,"-$16,80,114.33",11/30/2023,$0.00 ,Deduction,Promotions ,Co-op,$293.21 ,2023,6429-817059700,59960910
280181503,6429-817703160,11/8/2023,Co-op-66398440-6429-817703160,($69.08),USD,$0.00 ,$0.00 ,$69.08 ,$0.00 ,11/9/2023,"$1,171.69 ",Deduction,Promotions ,Co-op,$69.08 ,2023,6429-817703160,66398440
280123011,6429-817678235,11/7/2023,Co-op-66721195-6429-817678235,($507.38),USD,$0.00 ,$0.00 ,$507.38 ,$0.00 ,11/9/2023,"$43,536.69 ",Deduction,Promotions ,Co-op,$507.38 ,2023,6429-817678235,66721195
280123011,6429-817676770,11/8/2023,Co-op-66721200-6429-817676770,($733.39),USD,$0.00 ,$0.00 ,$733.39 ,$0.00 ,11/9/2023,"$43,536.69 ",Deduction,Promotions ,Co-op,$733.39 ,2023,6429-817676770,66721200
280187136,6429-814079920,11/9/2023,Co-op-58689720-6429-814079920,"($35,571.78)",USD,$0.00 ,$0.00 ,$42.66 ,$0.00 ,11/10/2023,$0.00 ,Deduction,Promotions ,Co-op,$42.66 ,2023,6429-814079920,58689720
280233490,6429-814079920,11/9/2023,Co-op-58689720-6429-814079920,"($35,571.78)",USD,$0.00 ,$0.00 ,"$35,529.12 ",$0.00 ,11/10/2023,"$8,409.62 ",Deduction,Promotions ,Co-op,"$35,529.12 ",2023,6429-814079920,58689720
280121370,6429-812980345,11/7/2023,Co-op-58356695-6429-812980345,"($79,841.99)",USD,$0.00 ,$0.00 ,"$79,841.99 ",$0.00 ,11/9/2023,"$39,502.27 ",Deduction,Promotions ,Co-op,"$79,841.99 ",2023,6429-812980345,58356695
280270321,6429-817572235,11/10/2023,Co-op-65880900-6429-817572235,"($3,036.80)",USD,$0.00 ,$0.00 ,"$3,036.80 ",$0.00 ,11/11/2023,$0.00 ,Deduction,Promotions ,Co-op,"$3,036.80 ",2023,6429-817572235,65880900
280270321,6429-814041045,11/10/2023,Co-op-58681560-6429-814041045,"-$1,19,523.93",USD,$0.00 ,$0.00 ,$527.08 ,$0.00 ,11/11/2023,$0.00 ,Deduction,Promotions ,Co-op,$527.08 ,2023,6429-814041045,58681560
280282422,6429-814041045,11/10/2023,Co-op-58681560-6429-814041045,"-$1,19,523.93",USD,$0.00 ,$0.00 ,"$92,455.57 ",$0.00 ,11/12/2023,$0.00 ,Deduction,Promotions ,Co-op,"$92,455.57 ",2023,6429-814041045,58681560
280318443,6429-814041045,11/10/2023,Co-op-58681560-6429-814041045,"-$1,19,523.93",USD,$0.00 ,$0.00 ,"$26,541.28 ",$0.00 ,11/13/2023,"$96,019.45 ",Deduction,Promotions ,Co-op,"$26,541.28 ",2023,6429-814041045,58681560
282620813,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$919.80 ,"-$15,24,598.38",12/1/2023,$0.00 ,Deduction,Promotions ,Co-op,$919.80 ,2023,6429-817059700,59960910
282750673,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$554.40 ,"-$15,24,598.38",12/1/2023,$0.00 ,Deduction,Promotions ,Co-op,$554.40 ,2023,6429-817059700,59960910
282756395,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$7,587.31 ","-$15,24,598.38",12/1/2023,$0.00 ,Deduction,Promotions ,Co-op,"$7,587.31 ",2023,6429-817059700,59960910
282772721,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$70,962.51 ","-$15,24,598.38",12/1/2023,$0.00 ,Deduction,Promotions ,Co-op,"$70,962.51 ",2023,6429-817059700,59960910
282810594,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$20,616.96 ","-$15,24,430.54",12/2/2023,$0.00 ,Deduction,Promotions ,Co-op,"$20,616.96 ",2023,6429-817059700,59960910
282812779,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$163.80 ,"-$15,24,430.54",12/2/2023,$0.00 ,Deduction,Promotions ,Co-op,$163.80 ,2023,6429-817059700,59960910
282805608,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,34,735.19 ","-$15,24,430.54",12/2/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,34,735.19 ",2023,6429-817059700,59960910
282760789,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$2,675.12 ","-$15,24,598.38",12/4/2023,$0.00 ,Deduction,Promotions ,Co-op,"$2,675.12 ",2023,6429-817059700,59960910
282918647,6429-817062705-IT,11/7/2023,Co-op-59962350-6429-817062705,"-$4,78,032.55",USD,$0.00 ,$0.00 ,"$44,101.36 ","-$2,69,607.99",12/4/2023,$0.00 ,Deduction,Promotions ,Co-op,"$44,101.36 ",2023,6429-817062705-IT,59962350
282918647,6408-815760185-IT,11/9/2023,Co-op-60161190-6408-815760185,"-$1,63,059.22",USD,$0.00 ,$0.00 ,"$78,292.77 ",$0.00 ,12/4/2023,$0.00 ,Deduction,Promotions ,Co-op,"$78,292.77 ",2023,6408-815760185-IT,60161190
283084326,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$167.84 ,"-$13,53,700.97",12/6/2023,$0.00 ,Deduction,Promotions ,Co-op,$167.84 ,2023,6429-817059700,59960910
283107260,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$46,315.76 ","-$13,11,318.44",12/6/2023,$0.00 ,Deduction,Promotions ,Co-op,"$46,315.76 ",2023,6429-817059700,59960910
283107269,6429-817062705-IT,11/7/2023,Co-op-59962350-6429-817062705,"-$4,78,032.55",USD,$0.00 ,$0.00 ,"$58,398.76 ","-$1,53,203.67",12/6/2023,$0.00 ,Deduction,Promotions ,Co-op,"$58,398.76 ",2023,6429-817062705-IT,59962350
283108261,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$73,601.50 ","-$13,11,318.44",12/6/2023,$0.00 ,Deduction,Promotions ,Co-op,"$73,601.50 ",2023,6429-817059700,59960910
283187496,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$34,729.35 ","-$13,11,296.36",12/7/2023,$0.00 ,Deduction,Promotions ,Co-op,"$34,729.35 ",2023,6429-817059700,59960910
283187506,6429-817062705-IT,11/7/2023,Co-op-59962350-6429-817062705,"-$4,78,032.55",USD,$0.00 ,$0.00 ,"$1,05,924.44 ","-$1,04,420.27",12/7/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,05,924.44 ",2023,6429-817062705-IT,59962350
283237047,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$16,082.96 ","-$13,11,318.44",12/8/2023,$0.00 ,Deduction,Promotions ,Co-op,"$16,082.96 ",2023,6429-817059700,59960910
283241227,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$22.08 ,"-$13,11,318.44",12/8/2023,$0.00 ,Deduction,Promotions ,Co-op,$22.08 ,2023,6429-817059700,59960910
283260040,6429-817062705-IT,11/7/2023,Co-op-59962350-6429-817062705,"-$4,78,032.55",USD,$0.00 ,$0.00 ,"$1,16,404.32 ","-$1,04,420.27",12/8/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,16,404.32 ",2023,6429-817062705-IT,59962350
283260087,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$13,575.94 ","-$13,11,296.36",12/8/2023,$0.00 ,Deduction,Promotions ,Co-op,"$13,575.94 ",2023,6429-817059700,59960910
283283684,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$28,784.51 ","-$12,02,474.74",12/9/2023,$0.00 ,Deduction,Promotions ,Co-op,"$28,784.51 ",2023,6429-817059700,59960910
283314052,6429-817062705-IT,11/7/2023,Co-op-59962350-6429-817062705,"-$4,78,032.55",USD,$0.00 ,$0.00 ,"$48,783.40 ","-$1,04,420.27",12/10/2023,$0.00 ,Deduction,Promotions ,Co-op,"$48,783.40 ",2023,6429-817062705-IT,59962350
283314078,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$22.08 ,"-$11,27,587.84",12/10/2023,$0.00 ,Deduction,Promotions ,Co-op,$22.08 ,2023,6429-817059700,59960910
283422116,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,08,821.62 ","-$9,34,141.19",12/12/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,08,821.62 ",2023,6429-817059700,59960910
283527356,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$74,668.71 ","-$9,09,349.19",12/13/2023,$0.00 ,Deduction,Promotions ,Co-op,"$74,668.71 ",2023,6429-817059700,59960910
283573188,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$31,801.15 ","-$8,98,002.46",12/14/2023,$0.00 ,Deduction,Promotions ,Co-op,"$31,801.15 ",2023,6429-817059700,59960910
283561491,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$218.19 ,"-$9,34,141.19",12/15/2023,$0.00 ,Deduction,Promotions ,Co-op,$218.19 ,2023,6429-817059700,59960910
283610414,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$6.34 ,"-$9,09,349.19",12/15/2023,$0.00 ,Deduction,Promotions ,Co-op,$6.34 ,2023,6429-817059700,59960910
283639212,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,61,639.16 ","-$7,26,142.80",12/16/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,61,639.16 ",2023,6429-817059700,59960910
283647597,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$24,792.00 ","-$7,26,142.80",12/16/2023,$0.00 ,Deduction,Promotions ,Co-op,"$24,792.00 ",2023,6429-817059700,59960910
283683731,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,535.40 ","-$3,65,241.77",12/18/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,535.40 ",2023,6429-817059700,59960910
283687625,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$9,811.33 ","-$3,65,241.77",12/18/2023,$0.00 ,Deduction,Promotions ,Co-op,"$9,811.33 ",2023,6429-817059700,59960910
283722312,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$77,918.36 ","-$6,41,137.74",12/19/2023,$0.00 ,Deduction,Promotions ,Co-op,"$77,918.36 ",2023,6429-817059700,59960910
283767021,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$13,192.77 ","-$3,65,241.77",12/19/2023,$0.00 ,Deduction,Promotions ,Co-op,"$13,192.77 ",2023,6429-817059700,59960910
283801513,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$80,321.39 ","-$3,65,241.77",12/19/2023,$0.00 ,Deduction,Promotions ,Co-op,"$80,321.39 ",2023,6429-817059700,59960910
283736283,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$50.40 ,"-$6,40,887.63",12/20/2023,$0.00 ,Deduction,Promotions ,Co-op,$50.40 ,2023,6429-817059700,59960910
285263214,6429-817062705-IT,11/7/2023,Co-op-59962350-6429-817062705,"-$4,78,032.55",USD,$0.00 ,$0.00 ,"$89,063.88 ","($15,356.39)",12/20/2023,$0.00 ,Deduction,Promotions ,Co-op,"$89,063.88 ",2023,6429-817062705-IT,59962350
284999077,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$85,005.06 ","-$2,92,824.51",12/20/2023,$0.00 ,Deduction,Promotions ,Co-op,"$85,005.06 ",2023,6429-817059700,59960910
283895005,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$376.74 ,"-$3,65,241.77",12/21/2023,$0.00 ,Deduction,Promotions ,Co-op,$376.74 ,2023,6429-817059700,59960910
285309209,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$250.11 ,"-$3,65,241.77",12/22/2023,$0.00 ,Deduction,Promotions ,Co-op,$250.11 ,2023,6429-817059700,59960910
285366075,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$48,166.78 ","-$3,91,365.86",12/22/2023,$0.00 ,Deduction,Promotions ,Co-op,"$48,166.78 ",2023,6429-817059700,59960910
285385276,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$55,034.94 ","-$3,65,241.77",12/23/2023,$0.00 ,Deduction,Promotions ,Co-op,"$55,034.94 ",2023,6429-817059700,59960910
285424514,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$31.95 ,"-$2,19,778.01",12/24/2023,$0.00 ,Deduction,Promotions ,Co-op,$31.95 ,2023,6429-817059700,59960910
285355394,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$19,737.94 ","-$2,92,824.51",12/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$19,737.94 ",2023,6429-817059700,59960910
285469179,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$1,26,550.16 ","-$2,19,778.01",12/25/2023,$0.00 ,Deduction,Promotions ,Co-op,"$1,26,550.16 ",2023,6429-817059700,59960910
285530467,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$26,124.09 ","-$2,19,778.01",12/26/2023,$0.00 ,Deduction,Promotions ,Co-op,"$26,124.09 ",2023,6429-817059700,59960910
285629054,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$72,417.26 ","-$2,19,778.01",12/27/2023,$0.00 ,Deduction,Promotions ,Co-op,"$72,417.26 ",2023,6429-817059700,59960910
285681549,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$75.52 ,"-$2,19,778.01",12/28/2023,$0.00 ,Deduction,Promotions ,Co-op,$75.52 ,2023,6429-817059700,59960910
285683594,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$185.50 ,"-$2,19,778.01",12/28/2023,$0.00 ,Deduction,Promotions ,Co-op,$185.50 ,2023,6429-817059700,59960910
285707107,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,"$72,720.77 ","($23,486.74)",12/28/2023,$0.00 ,Deduction,Promotions ,Co-op,"$72,720.77 ",2023,6429-817059700,59960910
285741188,6429-817059700,11/7/2023,Co-op-59960910-6429-817059700,"-$20,12,768.61",USD,$0.00 ,$0.00 ,$64.71 ,"-$2,19,778.01",12/29/2023,$0.00 ,Deduction,Promotions ,Co-op,$64.71 ,2023,6429-817059700,59960910
283339543,6429-829190415,12/8/2023,Co-op-58689720-6429-829190415,"($27,435.83)",USD,$0.00 ,$0.00 ,"$10,705.74 ",$0.00 ,12/11/2023,$0.00 ,Deduction,Promotions ,Co-op,"$10,705.74 ",2023,6429-829190415,58689720
283343592,6429-829190415,12/8/2023,Co-op-58689720-6429-829190415,"($27,435.83)",USD,$0.00 ,$0.00 ,"$16,730.09 ",$0.00 ,12/12/2023,"$4,99,820.93",Deduction,Promotions ,Co-op,"$16,730.09 ",2023,6429-829190415,58689720
283291837,6429-829148850,12/9/2023,Co-op-58681560-6429-829148850,"($31,960.49)",USD,$0.00 ,$0.00 ,$18.79 ,$0.00 ,12/11/2023,$0.00 ,Deduction,Promotions ,Co-op,$18.79 ,2023,6429-829148850,58681560
283297145,6429-829148850,12/9/2023,Co-op-58681560-6429-829148850,"($31,960.49)",USD,$0.00 ,$0.00 ,$53.40 ,$0.00 ,12/11/2023,$0.00 ,Deduction,Promotions ,Co-op,$53.40 ,2023,6429-829148850,58681560
283335754,6429-829148850,12/9/2023,Co-op-58681560-6429-829148850,"($31,960.49)",USD,$0.00 ,$0.00 ,"$31,888.30 ",$0.00 ,12/11/2023,"$23,065.59 ",Deduction,Promotions ,Co-op,"$31,888.30 ",2023,6429-829148850,58681560
283335754,6429-828021740,12/11/2023,Co-op-58356695-6429-828021740,"($21,349.61)",USD,$0.00 ,$0.00 ,"$21,349.61 ",$0.00 ,12/11/2023,"$23,065.59 ",Deduction,Promotions ,Co-op,"$21,349.61 ",2023,6429-828021740,58356695
285304311,6429-834789500,12/20/2023,Co-op-71442400-6429-834789500,"($1,954.11)",USD,$0.00 ,$0.00 ,"$1,954.11 ",$0.00 ,12/22/2023,"$1,58,101.78",Deduction,Promotions ,Co-op,"$1,954.11 ",2023,6429-834789500,71442400
