concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found,
9.11163E+15,9111630198,442021,PR3326048,7115672555 ,0,0,0,0,0,Yes,Yes,No,Yes,442021
9.11179E+15,9111785290,220244,PR3335236,7115757337,0,0,0,0,0,Yes,Yes,No,Yes,220244
9111955082FP-23-AD008,9111955082,FP-23-AD008,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0029YN,9111955082,LH-0029YN,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0031,9111955082,LH-0031,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0031YN,9111955082,LH-0031YN,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0032,9111955082,LH-0032,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082LH-0032YN,9111955082,LH-0032YN,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9111955082VPPCSP,9111955082,VPPCSP,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,132015,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,632034,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,651910,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,652010,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.11196E+15,9111955082,672034,33206039,6028508963,0,0,0,0,0,No,Yes,No,Yes,FP-23-AD008
9.1118E+15,9111803969,256045,33032328,6028212794,0,0,0,0,0,No,Yes,No,Yes,256045
9.11212E+15,9112119739,302995,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,303345,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305017,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305127,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305195,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305217,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305219,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305489,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305764,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305787,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,305829,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,306610,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,363083,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367203,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367281,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367283,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367298,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367856,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367861,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,367960,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,368607,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,371073,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,371163,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,372053,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11212E+15,9112119739,383313,33395621,6028507943,0,0,0,0,0,Yes,No,No,Yes,302995
9.11167E+15,9111665552,367962,32806698,Multiple,0,0,0,0,0,Yes,Yes,No,Yes,367962
9.11166E+15,9111664662,326895,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,328418,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,328438,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,328203,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,320109,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,329515,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,328466,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,320122,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,320574,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,324906,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,320749,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11166E+15,9111664662,320550,8138935415,6028040817,0,0,0,0,0,Yes,Yes,No,Yes,326895
9.11191E+15,9111905714,320550,8115904997,6028445692,0,0,0,0,0,Yes,Yes,No,Yes,320550
9.11169E+15,9111686677,320119,8120636137,6028026488,0,0,0,0,0,No,Yes,No,Yes,320119
9.11177E+15,9111772241,306546,8163638036,6028109289,0,0,0,0,0,Yes,Yes,Yes,Yes,306546
9.11203E+15,9112030133,256041,33262367,6028700606,0,0,0,0,0,Yes,No,No,Yes,256041
9.11197E+15,9111973459,305837,8110805226,6028555135,0,0,0,0,0,Yes,Yes,No,Yes,305837
9.11145E+15,9111452444,320119,291014794,6027588841,0,0,0,0,0,Yes,Yes,No,Yes,NA
9.11145E+15,9111452444,320550,291014794,6027588841,0,0,0,0,0,Yes,Yes,No,Yes,NA
9.11085E+15,9110850537,306414,41712866,6026368892,0,0,0,0,0,Yes,Yes,No,Yes,306414
9.11069E+15,9110688171,320550,55822834,6026131624,0,0,0,0,0,Yes,Yes,No,Yes,320550
9.11145E+15,9111452444,320119,291014794,6027588841,0,0,0,0,0,Yes,Yes,No,Yes,NA
9.11145E+15,9111452444,320550,291014794,6027588841,0,0,0,0,0,Yes,Yes,No,Yes,NA
9.11085E+15,9110850537,306414,41712866,6026368892,0,0,0,0,0,Yes,Yes,No,Yes,306414
9.11069E+15,9110688171,320550,55822834,6026131624,0,0,0,0,0,Yes,Yes,No,Yes,320550
9.11161E+15,9111612709,324911,42019241,6027934726,0,0,0,0,0,Yes,Yes,Yes,Yes,324911
9.11163E+15,9111631290,306546,281017816,6027942133,0,0,0,0,0,Yes,Yes,Yes,Yes,306546
9.11163E+15,9111631290,306547,281017816,6027942133,0,0,0,0,0,Yes,Yes,Yes,Yes,306546
9.11168E+15,9111681718,515100,2201004936,6028049440,0,0,0,0,0,No,Yes,No,Yes,515100
9.11168E+15,9111681718,309646,2201004936,6028049440,0,0,0,0,0,No,Yes,No,Yes,515100
911168171810012241-0500,9111681718,10012241-0500,2201004936,6028049440,0,0,0,0,0,No,Yes,No,Yes,515100
91116817200010012241-0500,9111681720,0010012241-0500,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes,0010012241-0500
9.11168E+15,9111681720,305614,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes,0010012241-0500
9.11168E+15,9111681720,309646,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes,0010012241-0500
9.11168E+15,9111681720,381523,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes,0010012241-0500
9.11168E+15,9111681720,305196,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes,0010012241-0500
9.11144E+15,9111441226,323487,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes,323487
9.11144E+15,9111441226,320109,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes,323487
9.11144E+15,9111441226,328438,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes,323487
9.11144E+15,9111441226,329515,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes,323487
9.11144E+15,9111441226,320550,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes,323487
9.11179E+15,9111792254,326895,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes,326895
9.11179E+15,9111792254,320119,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes,326895
9.11179E+15,9111792254,328431,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes,326895
9.11179E+15,9111792254,329515,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes,326895
9.11179E+15,9111792252,302832,371024203,6028069160,0,0,0,0,0,No,Yes,No,Yes,302832
9.11179E+15,9111792252,306414,371024203,6028069160,0,0,0,0,0,No,Yes,No,Yes,302832
9.11179E+15,9111792252,305195,371024203,6028069160,0,0,0,0,0,No,Yes,No,Yes,302832
